"loan_date","est_yield","est_loss","est_return","rating","year"
2013-05-21,0.1382,0.0524,0.0858,"B","2013"
2013-09-20,0.17416,0.0849,0.08926,"C","2013"
2013-04-23,0.1202,0.0424,0.0778,"B","2013"
2013-05-22,0.1487,0.0599,0.0888,"B","2013"
2013-07-01,0.219,0.1125,0.1065,"D","2013"
2013-12-13,0.25006,0.1475,0.10256,"E","2013"
2013-02-28,0.1512,0.0549,0.0963,"B","2013"
2013-12-24,0.17274,0.0899,0.08284,"C","2013"
2013-09-23,0.12744,0.0474,0.08004,"B","2013"
2013-01-29,0.0905,0.0274,0.0631,"A","2013"
2013-06-04,0.1452,0.0574,0.0878,"B","2013"
2013-08-28,0.2148,0.0975,0.1173,"D","2013"
2013-12-03,0.109,0.0399,0.0691,"A","2013"
2013-08-08,0.0965,0.0299,0.0666,"A","2013"
2013-02-01,0.1417,0.0549,0.0868,"B","2013"
2013-11-15,0.14311,0.0599,0.08321,"B","2013"
2013-02-08,0.1659,0.0499,0.116,"B","2013"
2013-12-05,0.09989,0.0349,0.06499,"A","2013"
2013-11-19,0.17716,0.0874,0.08976,"C","2013"
2013-07-15,0.241,0.1175,0.1235,"D","2013"
2013-10-28,0.2706,0.1575,0.1131,"HR","2013"
2013-09-10,0.219,0.1125,0.1065,"D","2013"
2013-09-18,0.09202,0.0274,0.06462,"A","2013"
2013-11-25,0.11477,0.0399,0.07487,"A","2013"
2013-12-17,0.14559,0.0674,0.07819,"C","2013"
2013-10-29,0.23057,0.1275,0.10307,"E","2013"
2013-07-18,0.1898,0.0774,0.1124,"C","2013"
2013-11-22,0.11024,0.0374,0.07284,"A","2013"
2013-12-18,0.14256,0.0649,0.07766,"C","2013"
2013-08-05,0.1749,0.0774,0.0975,"C","2013"
2013-09-19,0.15519,0.0699,0.08529,"C","2013"
2013-08-08,0.2382,0.1275,0.1107,"E","2013"
2013-11-04,0.1797,0.0899,0.0898,"C","2013"
2013-11-12,0.17162,0.0824,0.08922,"C","2013"
2013-05-29,0.1148,0.0399,0.0749,"A","2013"
2013-12-02,0.1121,0.0424,0.0697,"B","2013"
2013-05-08,0.0965,0.0299,0.0666,"A","2013"
2013-02-21,0.1739,0.0549,0.119,"B","2013"
2013-12-18,0.11932,0.0474,0.07192,"B","2013"
2013-08-29,0.2085,0.0925,0.116,"D","2013"
2013-07-19,0.2254,0.1175,0.1079,"D","2013"
2013-01-24,0.276,0.1575,0.1185,"HR","2013"
2013-08-09,0.1292,0.0474,0.0818,"B","2013"
2013-12-12,0.1762,0.0925,0.0837,"D","2013"
2013-06-26,0.1619,0.0599,0.102,"B","2013"
2013-10-10,0.23057,0.1275,0.10307,"E","2013"
2013-08-13,0.2566,0.1325,0.1241,"E","2013"
2013-11-27,0.13507,0.0599,0.07517,"B","2013"
2013-03-01,0.0958,0.0474,0.0484,"B","2013"
2013-11-01,0.09202,0.0274,0.06462,"A","2013"
2013-10-03,0.27598,0.1625,0.11348,"HR","2013"
2013-11-29,0.20169,0.1125,0.08919,"D","2013"
2013-12-09,0.12898,0.0549,0.07408,"B","2013"
2013-12-24,0.13953,0.0624,0.07713,"C","2013"
2013-09-18,0.09653,0.0299,0.06663,"A","2013"
2013-04-29,0.219,0.1125,0.1065,"D","2013"
2013-11-26,0.14814,0.0699,0.07824,"C","2013"
2013-05-28,0.2318,0.1225,0.1093,"E","2013"
2013-11-14,0.20262,0.1075,0.09512,"D","2013"
2013-09-30,0.1952,0.1025,0.0927,"D","2013"
2013-10-18,0.14963,0.0649,0.08473,"C","2013"
2013-08-26,0.1337,0.0499,0.0838,"B","2013"
2013-12-11,0.17019,0.0874,0.08279,"C","2013"
2013-07-23,0.1679,0.0724,0.0955,"C","2013"
2013-09-25,0.15867,0.0724,0.08627,"C","2013"
2013-11-29,0.109,0.0399,0.0691,"A","2013"
2013-09-19,0.23673,0.1325,0.10423,"E","2013"
2013-03-18,0.1337,0.0499,0.0838,"B","2013"
2013-05-22,0.2274,0.1075,0.1199,"D","2013"
2013-03-04,0.1957,0.0824,0.1133,"C","2013"
2013-12-20,0.14256,0.0649,0.07766,"C","2013"
2013-12-27,0.109,0.0399,0.0691,"A","2013"
2013-10-04,0.09653,0.0299,0.06663,"A","2013"
2013-06-20,0.1714,0.0749,0.0965,"C","2013"
2013-12-03,0.1264,0.0524,0.074,"B","2013"
2013-12-13,0.06044,0.0149,0.04554,"AA","2013"
2013-06-28,0.1076,0.0349,0.0727,"A","2013"
2013-10-09,0.26366,0.1525,0.11116,"HR","2013"
2013-12-30,0.12898,0.0549,0.07408,"B","2013"
2013-05-29,0.1575,0.0574,0.1001,"B","2013"
2013-06-27,0.0647,0.0149,0.0498,"AA","2013"
2013-10-21,0.14311,0.0599,0.08321,"B","2013"
2013-11-08,0.13449,0.0524,0.08209,"B","2013"
2013-12-11,0.16717,0.0849,0.08227,"C","2013"
2013-12-13,0.12898,0.0549,0.07408,"B","2013"
2013-12-16,0.19571,0.1075,0.08821,"D","2013"
2013-01-09,0.1571,0.0649,0.0922,"C","2013"
2013-10-24,0.13705,0.0549,0.08215,"B","2013"
2013-09-24,0.23057,0.1275,0.10307,"E","2013"
2013-02-05,0.213,0.0849,0.1281,"C","2013"
2013-12-26,0.22987,0.1325,0.09737,"E","2013"
2013-10-18,0.13449,0.0524,0.08209,"B","2013"
2013-06-05,0.1181,0.0399,0.0782,"A","2013"
2013-07-18,0.126,0.0424,0.0836,"B","2013"
2013-06-26,0.1575,0.0574,0.1001,"B","2013"
2013-11-19,0.13144,0.0499,0.08154,"B","2013"
2013-08-14,0.1102,0.0374,0.0728,"A","2013"
2013-08-08,0.1615,0.0674,0.0941,"C","2013"
2013-12-27,0.06546,0.0174,0.04806,"AA","2013"
2013-08-22,0.2064,0.1025,0.1039,"D","2013"
2013-05-24,0.1873,0.0874,0.0999,"C","2013"
2013-06-26,0.2519,0.1275,0.1244,"E","2013"
2013-11-27,0.17416,0.0849,0.08926,"C","2013"
2013-12-23,0.25006,0.1475,0.10256,"E","2013"
2013-09-05,0.1417,0.0549,0.0868,"B","2013"
2013-09-26,0.23673,0.1325,0.10423,"E","2013"
2013-05-17,0.126,0.0424,0.0836,"B","2013"
2013-10-16,0.2165,0.1175,0.099,"D","2013"
2013-05-28,0.1619,0.0599,0.102,"B","2013"
2013-10-16,0.15264,0.0674,0.08524,"C","2013"
2013-08-02,0.1417,0.0549,0.0868,"B","2013"
2013-09-20,0.23673,0.1325,0.10423,"E","2013"
2013-01-25,0.2064,0.1025,0.1039,"D","2013"
2013-10-15,0.1238,0.0449,0.0789,"B","2013"
2013-08-22,0.1337,0.0499,0.0838,"B","2013"
2013-08-14,0.1076,0.0349,0.0727,"A","2013"
2013-12-05,0.18828,0.1025,0.08578,"D","2013"
2013-06-24,0.2085,0.0925,0.116,"D","2013"
2013-12-18,0.11567,0.0449,0.07077,"B","2013"
2013-10-02,0.1238,0.0449,0.0789,"B","2013"
2013-11-06,0.25691,0.1475,0.10941,"E","2013"
2013-12-17,0.1762,0.0925,0.0837,"D","2013"
2013-07-24,0.2447,0.1325,0.1122,"E","2013"
2013-12-17,0.109,0.0399,0.0691,"A","2013"
